iter	Logloss
0	0.6498044755
1	0.6107287811
2	0.5774292216
3	0.5489561366
4	0.5204460838
5	0.4880964894
6	0.461107652
7	0.4349572973
8	0.4152491097
9	0.3943028115
10	0.3789728427
11	0.3601124254
12	0.3434354276
13	0.3283152117
14	0.3151675419
15	0.3047621359
16	0.2942338148
17	0.286596182
18	0.2798279504
19	0.2695991629
20	0.2639512865
21	0.2557444228
22	0.2499745554
23	0.2438317641
24	0.2376735734
25	0.2322010132
26	0.2270668305
27	0.2227424933
28	0.2168467713
29	0.2125816219
30	0.210592343
31	0.2066798467
32	0.2035413991
33	0.201102253
34	0.197714238
35	0.1949015479
36	0.192832714
37	0.1905964361
38	0.1893860394
39	0.1868622616
40	0.1841837413
41	0.1822132828
42	0.1805623343
43	0.1790304929
44	0.1768868099
45	0.1744301229
46	0.1735363544
47	0.1727418068
48	0.1719131107
49	0.1701520398
50	0.1691282423
51	0.1674233455
52	0.1659797113
53	0.1652845388
54	0.1646896643
55	0.1636680401
56	0.1624629925
57	0.1614416669
58	0.1606567825
59	0.1601000398
60	0.159384
61	0.1587044917
62	0.1577265644
63	0.1572996341
64	0.156738622
65	0.155871992
66	0.1553377305
67	0.1549119029
68	0.1545203496
69	0.1538265129
70	0.1535308289
71	0.15311678
72	0.1523297456
73	0.1518739815
74	0.1512552163
75	0.1510468816
76	0.15040255
77	0.1497323517
78	0.1495138042
79	0.1489555732
80	0.1487029757
81	0.1484194008
82	0.1481366537
83	0.1476893304
84	0.1474477876
85	0.1472185557
86	0.1469362808
87	0.1465195483
88	0.1462257889
89	0.1457261055
90	0.1455755039
91	0.1450419349
92	0.1448560246
93	0.1446088168
94	0.144371032
95	0.1442198542
96	0.1439774734
97	0.143822699
98	0.1434437508
99	0.1433014851
100	0.1431316197
101	0.1426592647
102	0.142206785
103	0.1420211642
104	0.1417373853
105	0.1414588589
106	0.1413004353
107	0.1411017093
108	0.1408486086
109	0.1404641926
110	0.1401342076
111	0.1398843331
112	0.1397824803
113	0.1395984854
114	0.1393880837
115	0.1392093189
116	0.1390684599
117	0.1389619175
118	0.1386170763
119	0.1383939122
120	0.1380516444
121	0.1378301453
122	0.137693078
123	0.1374869524
124	0.1372490636
125	0.137070592
126	0.1369593584
127	0.1365917603
128	0.1364290518
129	0.1362677658
130	0.1360592684
131	0.1360074337
132	0.1357601573
133	0.1356420996
134	0.135560404
135	0.1354420867
136	0.135194186
137	0.1349883953
138	0.1348390708
139	0.1346724598
140	0.134532925
141	0.1342986792
142	0.134204198
143	0.1339426328
144	0.1337862501
145	0.1336846571
146	0.1334050502
147	0.1331996943
148	0.133139923
149	0.1326783276
150	0.1325527436
151	0.1324787147
152	0.1322991921
153	0.1321369203
154	0.1320185578
155	0.1318586681
156	0.1316579103
157	0.1314812261
158	0.1314107266
159	0.1312675031
160	0.1311707833
161	0.1310051163
162	0.1309043518
163	0.1306957771
164	0.1305574978
165	0.1304967112
166	0.1303561455
167	0.1302925077
168	0.1302256794
169	0.1299876803
170	0.1297427065
171	0.1296191781
172	0.1295461403
173	0.1294098047
174	0.1292930317
175	0.1292115514
176	0.1291208511
177	0.1289777504
178	0.12881911
179	0.1287732542
180	0.1286221883
181	0.1284460658
182	0.1283303132
183	0.1282981143
184	0.1281245426
185	0.1280880782
186	0.1279734619
187	0.1278366163
188	0.1276160632
189	0.1275188395
190	0.1273749973
191	0.1272588836
192	0.1269659566
193	0.1268928338
194	0.1268050861
195	0.1267466171
196	0.1265932758
197	0.1263428388
198	0.1262552667
199	0.1259742476
200	0.1258647865
201	0.1256757227
202	0.125590619
203	0.1254716286
204	0.1252947863
205	0.1251317701
206	0.125065654
207	0.1249844914
208	0.1248451034
209	0.1247501717
210	0.1246374671
211	0.1245436275
212	0.1244886001
213	0.1243658935
214	0.1241242989
215	0.1240018153
216	0.1239043312
217	0.12379458
218	0.1237160427
219	0.1235576929
220	0.1235118539
221	0.1233410253
222	0.1231562251
223	0.1230935624
224	0.1230343124
225	0.1228121194
226	0.1227176509
227	0.1226087386
228	0.1225205102
229	0.1224028022
230	0.1223285143
231	0.1222735162
232	0.1221833596
233	0.1220851799
234	0.1219884201
235	0.1219051455
236	0.1218365471
237	0.1216096244
238	0.1215131288
239	0.1214510442
240	0.1213654936
241	0.121266507
