iter	Passed	Remaining
0	8	8455
1	16	8447
2	24	8025
3	32	7981
4	39	7875
5	47	7879
6	55	7903
7	63	7887
8	71	7855
9	79	7846
10	87	7830
11	94	7815
12	102	7803
13	110	7784
14	118	7769
15	126	7749
16	134	7751
17	142	7760
18	150	7746
19	158	7746
20	165	7738
21	173	7725
22	181	7721
23	189	7722
24	197	7721
25	204	7669
26	212	7652
27	220	7652
28	229	7669
29	236	7657
30	244	7635
31	252	7623
32	259	7608
33	267	7596
34	276	7615
35	284	7630
36	292	7605
37	299	7593
38	307	7578
39	315	7577
40	323	7573
41	331	7571
42	339	7563
43	349	7598
44	357	7592
45	365	7583
46	373	7569
47	380	7552
48	388	7545
49	396	7542
50	404	7534
51	412	7527
52	421	7525
53	429	7516
54	437	7518
55	445	7507
56	453	7496
57	461	7490
58	469	7493
59	477	7483
60	486	7494
61	494	7488
62	502	7480
63	510	7469
64	519	7466
65	528	7482
66	537	7478
67	545	7480
68	553	7474
69	561	7464
70	569	7456
71	578	7453
72	586	7447
73	594	7443
74	602	7434
75	610	7424
76	618	7419
77	627	7415
78	635	7407
79	643	7404
80	652	7399
81	660	7394
82	669	7395
83	677	7390
84	685	7384
85	694	7380
86	702	7372
87	713	7397
88	721	7386
89	730	7384
90	738	7374
91	746	7366
92	754	7361
93	762	7351
94	770	7340
95	778	7328
96	786	7318
97	794	7309
98	802	7307
99	810	7298
100	818	7289
101	826	7280
102	834	7270
103	842	7259
104	850	7250
105	860	7253
106	877	7320
107	885	7312
108	895	7321
109	903	7310
110	911	7303
111	919	7292
112	927	7280
113	935	7270
114	943	7259
115	950	7247
116	958	7234
117	966	7221
118	974	7211
119	982	7201
120	990	7192
121	998	7185
122	1006	7175
123	1014	7166
124	1022	7160
125	1030	7149
126	1038	7138
127	1046	7130
128	1054	7120
129	1062	7111
130	1070	7101
131	1081	7112
132	1090	7109
133	1098	7098
134	1107	7097
135	1115	7088
136	1124	7080
137	1132	7072
138	1140	7064
139	1148	7057
140	1157	7050
141	1165	7042
142	1173	7033
143	1182	7027
144	1190	7019
145	1198	7008
146	1206	6999
147	1214	6989
148	1221	6978
149	1229	6968
150	1237	6959
151	1245	6951
152	1254	6942
153	1265	6954
154	1273	6944
155	1281	6934
156	1289	6924
157	1297	6914
158	1305	6903
159	1313	6893
160	1321	6884
161	1329	6876
162	1337	6867
163	1345	6859
164	1353	6850
165	1363	6850
166	1373	6850
167	1380	6839
168	1388	6828
169	1397	6821
170	1405	6812
171	1413	6803
172	1421	6794
173	1429	6785
174	1437	6774
175	1445	6766
176	1453	6757
177	1461	6747
178	1469	6739
179	1477	6729
180	1485	6721
181	1494	6715
182	1502	6705
183	1508	6689
184	1516	6681
185	1524	6670
186	1531	6660
187	1539	6650
188	1547	6641
189	1556	6634
190	1564	6625
191	1572	6617
192	1581	6611
193	1589	6603
194	1597	6595
195	1605	6586
196	1613	6578
197	1621	6568
198	1631	6565
199	1639	6557
200	1647	6549
201	1656	6542
202	1664	6533
203	1672	6525
204	1680	6518
205	1689	6512
206	1697	6502
207	1706	6497
208	1715	6491
209	1724	6486
210	1732	6477
211	1740	6469
212	1749	6465
213	1758	6458
214	1767	6451
215	1775	6444
216	1783	6436
217	1791	6427
218	1800	6419
219	1813	6430
220	1821	6421
221	1830	6414
222	1838	6406
223	1846	6397
224	1854	6387
225	1862	6380
226	1870	6370
227	1879	6362
228	1887	6354
229	1895	6346
230	1903	6336
231	1911	6327
232	1919	6319
233	1928	6311
234	1936	6303
235	1946	6302
236	1955	6294
237	1963	6285
238	1971	6277
239	1981	6274
240	1989	6266
241	1998	6260
242	2007	6253
243	2015	6244
244	2023	6236
245	2031	6228
246	2040	6219
247	2048	6210
248	2056	6202
249	2064	6194
250	2072	6185
251	2081	6177
252	2089	6169
253	2097	6161
254	2106	6152
255	2113	6143
256	2122	6135
257	2130	6126
258	2138	6117
259	2146	6108
260	2154	6099
261	2162	6090
262	2170	6082
263	2180	6080
264	2190	6075
265	2198	6066
266	2208	6064
267	2217	6055
268	2224	6045
269	2233	6040
270	2241	6030
271	2250	6022
272	2258	6013
273	2266	6005
274	2274	5996
275	2282	5988
276	2291	5979
277	2299	5971
278	2307	5962
279	2315	5953
280	2322	5943
281	2331	5935
282	2339	5927
283	2347	5918
284	2355	5909
285	2367	5910
286	2375	5901
287	2383	5891
288	2390	5882
289	2398	5872
290	2406	5863
291	2414	5854
292	2423	5848
293	2431	5839
294	2439	5830
295	2449	5825
296	2456	5815
297	2464	5806
298	2472	5797
299	2481	5789
300	2488	5779
301	2496	5769
302	2503	5759
303	2511	5750
304	2519	5741
305	2527	5732
306	2535	5722
307	2542	5712
308	2555	5713
309	2563	5705
310	2571	5696
311	2579	5687
312	2587	5678
313	2594	5669
314	2602	5659
315	2610	5651
316	2618	5642
317	2626	5633
318	2638	5631
319	2647	5626
320	2656	5619
321	2664	5610
322	2672	5601
323	2682	5595
324	2691	5589
325	2699	5582
326	2708	5574
327	2716	5565
328	2724	5557
329	2733	5550
330	2744	5547
331	2752	5537
332	2760	5528
333	2767	5519
334	2775	5509
335	2783	5500
336	2791	5491
337	2799	5482
338	2807	5473
339	2815	5464
340	2822	5455
341	2830	5445
342	2838	5436
343	2846	5427
344	2854	5419
345	2862	5410
346	2870	5401
347	2878	5392
348	2886	5383
349	2895	5377
350	2903	5368
351	2912	5361
352	2921	5355
353	2930	5347
354	2938	5338
355	2946	5329
356	2954	5320
357	2961	5311
358	2969	5301
359	2976	5292
360	2984	5282
361	2991	5272
362	2999	5263
363	3007	5255
364	3015	5246
365	3023	5237
366	3031	5229
